00111111100100110111100111011101	10000001111001011011010000111010
11010110011101000010110010110011	00101001000101011001010010111111
00111111001100001011100000100101	00010100011101111000110010010001
01101000100010100111001000011010	10010011010100000110111111001010
10111111100111001111000111001111	01011001101011000000110110111101

00111101001101110010001111101110	00000011110001101100001100010110
11101110110010100010000000110011	00100010111000001101100001010010
10101001011100111111011001010100	01011000110011011011000010010101
01101111111001001001100011100101	01001011010101101001110000100000
01010010001101101010010110110000	10110101100010010010010100111000





00010000110000011010101010110100	11000011010000111110111010101010
01100010110111100000010100110111	11000001101101110111101010000100
10001010111011000110111101100011	01111111110100000000100000001110
01110101011011011011010110101111	11000011100100000100000111001000
01000000111000100110100010111010	00010011011100101010101010101100





00101100101011111000100000101111	00000111101010000111011110101111
11010011001010001001000100101011	00111010100111010010110100001011
11101111111001001001110110010111	11111001001001000000100111101101
11000001000001111100111100001110	10110000000100001001111110000110
10101011101111110110001001011011	11110011101110100000101010111111
